attribute_set,available_for,name,theme_bg,allerretour,category_ids,depart,destination,price,websites,sku,typebillet,theme_color,description,short_description,image,status,store,visibility
barcodeticket,Children,Billet Baie-St-Paul - Beaupré Aller simple-65 ans et +,bspqcreg,Aller simple,3,Baie-St-Paul,Beaupré, 31.31  $ ,base,navbspbsaregall-6599,Navette,0,Billet Baie-St-Paul - Beaupré Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Baie-St-Paul - Beaupré Aller simple-18 à 25 ans,bspqcreg,Aller simple,3,Baie-St-Paul,Beaupré, 26.96  $ ,base,navbspbsaregall-1825,Navette,0,Billet Baie-St-Paul - Beaupré Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Baie-St-Paul - Beaupré Aller simple-7 à 17 ans,bspqcreg,Aller simple,3,Baie-St-Paul,Beaupré, 17.40  $ ,base,navbspbsaregall-0717,Navette,0,Billet Baie-St-Paul - Beaupré Aller simple-7 à 17 ans,7 à 17 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Baie-St-Paul - Québec Aller simple-26 à 64 ans,bspqcreg,Aller simple,3,Baie-St-Paul,Québec, 46.10  $ ,base,navbspmmoregall-2664,Navette,0,Billet Baie-St-Paul - Québec Aller simple-26 à 64 ans,26 à 64 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Baie-St-Paul - Québec Aller simple-65 ans et +,bspqcreg,Aller simple,3,Baie-St-Paul,Québec, 43.49  $ ,base,navbspmmoregall-6599,Navette,0,Billet Baie-St-Paul - Québec Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Baie-St-Paul - Québec Aller simple-18 à 25 ans,bspqcreg,Aller simple,3,Baie-St-Paul,Québec, 36.53  $ ,base,navbspmmoregall-1825,Navette,0,Billet Baie-St-Paul - Québec Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Baie-St-Paul - Québec Aller simple-7 à 17 ans,bspqcreg,Aller simple,3,Baie-St-Paul,Québec, 23.48  $ ,base,navbspmmoregall-0717,Navette,0,Billet Baie-St-Paul - Québec Aller simple-7 à 17 ans,7 à 17 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Petite-Rivière - Baie-St-Paul Aller simple-26 à 64 ans,qcbspreg,Aller simple,3,Petite-Rivière,Baie-St-Paul, 15.66  $ ,base,navprsbspregall-2664,Navette,0,Billet Petite-Rivière - Baie-St-Paul Aller simple-26 à 64 ans,26 à 64 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Petite-Rivière - Baie-St-Paul Aller simple-65 ans et +,qcbspreg,Aller simple,3,Petite-Rivière,Baie-St-Paul, 13.92  $ ,base,navprsbspregall-6599,Navette,0,Billet Petite-Rivière - Baie-St-Paul Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Petite-Rivière - Baie-St-Paul Aller simple-18 à 25 ans,qcbspreg,Aller simple,3,Petite-Rivière,Baie-St-Paul, 12.18  $ ,base,navprsbspregall-1825,Navette,0,Billet Petite-Rivière - Baie-St-Paul Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Petite-Rivière - Baie-St-Paul Aller simple-7 à 17 ans,qcbspreg,Aller simple,3,Petite-Rivière,Baie-St-Paul, 7.83  $ ,base,navprsbspregall-0717,Navette,0,Billet Petite-Rivière - Baie-St-Paul Aller simple-7 à 17 ans,7 à 17 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Petite-Rivière - Beaupré Aller simple-26 à 64 ans,bspqcreg,Aller simple,3,Petite-Rivière,Beaupré, 21.74  $ ,base,navprsbsaregall-2664,Navette,0,Billet Petite-Rivière - Beaupré Aller simple-26 à 64 ans,26 à 64 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Petite-Rivière - Beaupré Aller simple-65 ans et +,bspqcreg,Aller simple,3,Petite-Rivière,Beaupré, 20.00  $ ,base,navprsbsaregall-6599,Navette,0,Billet Petite-Rivière - Beaupré Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Petite-Rivière - Beaupré Aller simple-18 à 25 ans,bspqcreg,Aller simple,3,Petite-Rivière,Beaupré, 17.40  $ ,base,navprsbsaregall-1825,Navette,0,Billet Petite-Rivière - Beaupré Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Petite-Rivière - Beaupré Aller simple-7 à 17 ans,bspqcreg,Aller simple,3,Petite-Rivière,Beaupré, 11.31  $ ,base,navprsbsaregall-0717,Navette,0,Billet Petite-Rivière - Beaupré Aller simple-7 à 17 ans,7 à 17 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Petite-Rivière - Québec Aller simple-26 à 64 ans,bspqcreg,Aller simple,3,Petite-Rivière,Québec, 33.92  $ ,base,navprsmmoregall-2664,Navette,0,Billet Petite-Rivière - Québec Aller simple-26 à 64 ans,26 à 64 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Petite-Rivière - Québec Aller simple-65 ans et +,bspqcreg,Aller simple,3,Petite-Rivière,Québec, 31.31  $ ,base,navprsmmoregall-6599,Navette,0,Billet Petite-Rivière - Québec Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Petite-Rivière - Québec Aller simple-18 à 25 ans,bspqcreg,Aller simple,3,Petite-Rivière,Québec, 26.96  $ ,base,navprsmmoregall-1825,Navette,0,Billet Petite-Rivière - Québec Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Petite-Rivière - Québec Aller simple-7 à 17 ans,bspqcreg,Aller simple,3,Petite-Rivière,Québec, 17.40  $ ,base,navprsmmoregall-0717,Navette,0,Billet Petite-Rivière - Québec Aller simple-7 à 17 ans,7 à 17 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Beaupré - Baie-St-Paul Aller simple-26 à 64 ans,qcbspreg,Aller simple,3,Beaupré,Baie-St-Paul, 33.92  $ ,base,navbsabspregall-2664,Navette,0,Billet Beaupré - Baie-St-Paul Aller simple-26 à 64 ans,26 à 64 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Beaupré - Baie-St-Paul Aller simple-65 ans et +,qcbspreg,Aller simple,3,Beaupré,Baie-St-Paul, 31.31  $ ,base,navbsabspregall-6599,Navette,0,Billet Beaupré - Baie-St-Paul Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Beaupré - Baie-St-Paul Aller simple-18 à 25 ans,qcbspreg,Aller simple,3,Beaupré,Baie-St-Paul, 26.96  $ ,base,navbsabspregall-1825,Navette,0,Billet Beaupré - Baie-St-Paul Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Beaupré - Baie-St-Paul Aller simple-7 à 17 ans,qcbspreg,Aller simple,3,Beaupré,Baie-St-Paul, 17.40  $ ,base,navbsabspregall-0717,Navette,0,Billet Beaupré - Baie-St-Paul Aller simple-7 à 17 ans,7 à 17 ans,/b/s/bspmalreg.png,,,
